刀劍神域 奪命凶彈 完全版,https://ec.nintendo.com/HK/zh/titles/70010000014621,1,1,HKD 449,HKD 48
噬神者3,https://ec.nintendo.com/HK/zh/titles/70010000019407,1,1,HKD 449,HKD 48
勇者鬥惡龍 創世小玩家２　破壞神席德與空蕩島,https://ec.nintendo.com/HK/zh/titles/70010000020629,1,1,HKD 398,HKD 238
《瑪利歐 + 瘋狂兔子 王國之戰》- 英中版 (Mario + Rabbids Kingdom Battle Standard Edition),https://ec.nintendo.com/HK/zh/titles/70010000011652,1,2,HKD 320,HKD 80
Shift Happens,https://ec.nintendo.com/HK/zh/titles/70010000052334,1,2,HKD 120,HKD 12
Moto Rush GT豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011419,1,1,HKD 130,HKD 10
Overcooked! 2,https://ec.nintendo.com/HK/zh/titles/70010000033098,1,4,HKD 196,HKD 49
Down in Bermuda (逃出百慕達),https://ec.nintendo.com/HK/zh/titles/70010000046725,1,1,HKD 160,HKD 10
AAA 時鐘 完整版,https://ec.nintendo.com/HK/zh/bundles/70070000014154,1,1,HKD 103,HKD 10
移探救境 特別版 Georifters Special Edition,https://ec.nintendo.com/HK/zh/bundles/70070000014636,1,4,HKD 280,HKD 11
Agent A - 偽裝遊戲,https://ec.nintendo.com/HK/zh/titles/70010000050407,1,1,HKD 160,HKD 10
Disney TSUM TSUM FESTIVAL,https://ec.nintendo.com/HK/zh/titles/70010000022756,1,4,HKD 419,HKD 98
家庭象棋,https://ec.nintendo.com/HK/zh/titles/70010000047380,1,2,HKD 156,HKD 10
超級機器人大戰V,https://ec.nintendo.com/HK/zh/titles/70010000019765,1,1,HKD 449,HKD 148
廖添丁 - 稀代兇賊の最期,https://ec.nintendo.com/HK/zh/titles/70010000042616,1,1,HKD 118,HKD 76
Moving Out,https://ec.nintendo.com/HK/zh/titles/70010000029910,1,4,HKD 193,HKD 48
S.N.I.P.E.R. 獵人範圍 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011434,1,1,HKD 130,HKD 10
