刀劍神域 奪命凶彈 完全版,https://ec.nintendo.com/HK/zh/titles/70010000014621,1,1,HKD 449,HKD 48
小小夢魘2 (Little Nightmares II),https://ec.nintendo.com/HK/zh/titles/70010000021687,1,1,HKD 219,HKD 98
MONSTER HUNTER RISE,https://ec.nintendo.com/HK/zh/titles/70010000029013,1,1,HKD 468,HKD 238
勇者鬥惡龍 創世小玩家２　破壞神席德與空蕩島,https://ec.nintendo.com/HK/zh/titles/70010000020629,1,1,HKD 398,HKD 238
Moto Rush GT豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011419,1,1,HKD 130,HKD 10
Shift Happens,https://ec.nintendo.com/HK/zh/titles/70010000052334,1,2,HKD 120,HKD 12
AAA 時鐘 完整版,https://ec.nintendo.com/HK/zh/bundles/70070000014154,1,1,HKD 103,HKD 10
Kingdom Rush Origins,https://ec.nintendo.com/HK/zh/titles/70010000031455,1,1,HKD 76,HKD 22
噬神者3,https://ec.nintendo.com/HK/zh/titles/70010000019407,1,1,HKD 449,HKD 48
乒乓球,https://ec.nintendo.com/HK/zh/titles/70010000044635,1,2,HKD 78,HKD 15
Down in Bermuda (逃出百慕達),https://ec.nintendo.com/HK/zh/titles/70010000046725,1,1,HKD 160,HKD 10
《瑪利歐 + 瘋狂兔子 王國之戰》- 英中版 (Mario + Rabbids Kingdom Battle Standard Edition),https://ec.nintendo.com/HK/zh/titles/70010000011652,1,2,HKD 320,HKD 80
Knights & Guns,https://ec.nintendo.com/HK/zh/titles/70010000042143,1,2,HKD 132,HKD 15
Agent A - 偽裝遊戲,https://ec.nintendo.com/HK/zh/titles/70010000050407,1,1,HKD 160,HKD 10
移探救境 特別版 Georifters Special Edition,https://ec.nintendo.com/HK/zh/bundles/70070000014636,1,4,HKD 280,HKD 11
MONSTER HUNTER RISE 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011159,1,1,HKD 543,HKD 276
Kingdom Rush Frontiers,https://ec.nintendo.com/HK/zh/titles/70010000024599,1,1,HKD 75,HKD 22
Capcom Arcade Stadium Packs 1-3套裝,https://ec.nintendo.com/HK/zh/bundles/70070000011575,1,4,HKD 312,HKD 156
KAMEN RIDER 英雄尋憶,https://ec.nintendo.com/HK/zh/titles/70010000021858,1,1,HKD 479,HKD 98
Kingdom Rush,https://ec.nintendo.com/HK/zh/titles/70010000031454,1,1,HKD 75,HKD 22
Mega Man 11,https://ec.nintendo.com/HK/zh/titles/70010000011229,1,1,HKD 228,HKD 78
Disney TSUM TSUM FESTIVAL,https://ec.nintendo.com/HK/zh/titles/70010000022756,1,4,HKD 419,HKD 98
Trine 4: The Nightmare Prince 狩魔師4:惡夢王子,https://ec.nintendo.com/HK/zh/titles/70010000027871,1,4,HKD 240,HKD 48
Snug Finder,https://ec.nintendo.com/HK/zh/titles/70010000054772,1,1,HKD 49,HKD 15
小老鼠百科全書,https://ec.nintendo.com/HK/zh/titles/70010000047067,1,1,HKD 100,HKD 10
超級機器人大戰V,https://ec.nintendo.com/HK/zh/titles/70010000019765,1,1,HKD 449,HKD 148
OPUS：龍脈常歌 -最終版-,https://ec.nintendo.com/HK/zh/titles/70010000046598,1,1,HKD 135,HKD 108
JARS,https://ec.nintendo.com/HK/zh/titles/70010000042884,1,1,HKD 129,HKD 12
Monster Hunter Stories 2: 破滅之翼 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000012174,1,1,HKD 543,HKD 271
NoReload Heroes Enhanced Edition,https://ec.nintendo.com/HK/zh/titles/70010000030366,1,4,HKD 199,HKD 10
Capcom Belt Action Collection,https://ec.nintendo.com/HK/zh/titles/70010000008902,1,4,HKD 228,HKD 114
蘭島物語 Lair Land Story -Remastered-,https://ec.nintendo.com/HK/zh/titles/70010000042880,1,1,HKD 128,HKD 76
料理大亨 3 合 1 綑綁包,https://ec.nintendo.com/HK/zh/titles/70010000054944,1,1,HKD 102,HKD 30
S.N.I.P.E.R. 獵人範圍 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011434,1,1,HKD 130,HKD 10
大家一起閱讀空氣。3 ──傳承篇──,https://ec.nintendo.com/HK/zh/titles/70010000042646,1,2,HKD 39,HKD 29
在葉子下,https://ec.nintendo.com/HK/zh/titles/70010000045045,1,1,HKD 99,HKD 10
得猛獵人(Demong Hunter),https://ec.nintendo.com/HK/zh/titles/70010000035663,1,1,HKD 58,HKD 23
紙人 : 第一章（Paper Dolls Original）,https://ec.nintendo.com/HK/zh/titles/70010000038696,1,1,HKD 133,HKD 79
Devil May Cry 3 Special Edition,https://ec.nintendo.com/HK/zh/titles/70010000017210,1,2,HKD 156,HKD 93
家庭象棋,https://ec.nintendo.com/HK/zh/titles/70010000047380,1,2,HKD 156,HKD 10
廖添丁 - 稀代兇賊の最期,https://ec.nintendo.com/HK/zh/titles/70010000042616,1,1,HKD 118,HKD 76
ANIMUS,https://ec.nintendo.com/HK/zh/titles/70010000028199,1,1,HKD 58,HKD 19
AER Memories of Old,https://ec.nintendo.com/HK/zh/titles/70010000052342,1,1,HKD 150,HKD 15
ULTRA STREET FIGHTER® II The Final Challengers,https://ec.nintendo.com/HK/zh/titles/70010000009102,1,2,HKD 318,HKD 127
