宵星傳奇 REMASTER,https://ec.nintendo.com/HK/zh/titles/70010000013581,1,4,HKD 399,HKD 68
Sky Games 天空遊戲,https://ec.nintendo.com/HK/zh/titles/70010000048537,1,4,HKD 119,HKD 11
Little Nightmares Complete Edition,https://ec.nintendo.com/HK/zh/titles/70010000009448,1,1,HKD 199,HKD 49
Gear.Club Unlimited 2,https://ec.nintendo.com/HK/zh/titles/70010000014890,1,4,HKD 238,HKD 35
對不起，我是個NPC,https://ec.nintendo.com/HK/zh/titles/70010000037295,1,1,HKD 26,HKD 18
Human: Fall Flat,https://ec.nintendo.com/HK/zh/titles/70010000028500,1,2,HKD 99,HKD 49
哆啦A夢 牧場物語,https://ec.nintendo.com/HK/zh/titles/70010000019943,1,1,HKD 419,HKD 128
Figment,https://ec.nintendo.com/HK/zh/titles/70010000039725,1,1,HKD 149,HKD 14
一起五子棋,https://ec.nintendo.com/HK/zh/titles/70010000048412,1,2,HKD 22,HKD 15
風來之國 (Eastward),https://ec.nintendo.com/HK/zh/titles/70010000022881,1,1,HKD 80,HKD 64
Classic Pool,https://ec.nintendo.com/HK/zh/titles/70010000043455,1,2,HKD 74,HKD 10
PUZZLE & DRAGONS Nintendo Switch Edition,https://ec.nintendo.com/HK/zh/titles/70010000049296,1,4,HKD 34,HKD 10
SD GUNDAM G 世代 火線縱橫,https://ec.nintendo.com/HK/zh/titles/70010000015982,1,1,HKD 509,HKD 148
AAA時鐘優雅版,https://ec.nintendo.com/HK/zh/bundles/70070000014728,1,1,HKD 78,HKD 19
The Sinking City：豪華典藏版,https://ec.nintendo.com/HK/zh/bundles/70070000009581,1,1,HKD 510,HKD 76
《Wolfenstein II®: The New Colossus》,https://ec.nintendo.com/HK/zh/titles/70010000010527,1,1,HKD 310,HKD 62
DOOM® Eternal Deluxe Edition,https://ec.nintendo.com/HK/zh/bundles/70070000011184,1,1,HKD 639,HKD 159
末日方舟 Delivery from the Pain,https://ec.nintendo.com/HK/zh/titles/70010000048795,1,1,HKD 79,HKD 55
超級機器人大戰Ｔ,https://ec.nintendo.com/HK/zh/titles/70010000015667,1,1,HKD 559,HKD 148
泰拉瑞亞,https://ec.nintendo.com/HK/zh/titles/70010000023876,1,1,HKD 278,HKD 139
Horizon Midnight Sky Combat Aircraft - War Arena Flight Simulator 2022,https://ec.nintendo.com/HK/zh/titles/70010000050418,1,1,HKD 99,HKD 14
Cozy Grove,https://ec.nintendo.com/HK/zh/titles/70010000040141,1,1,HKD 99,HKD 64
S.N.I.P.E.R - Hunter Scope (S.N.I.P.E.R. 獵人範圍),https://ec.nintendo.com/HK/zh/titles/70010000036220,1,1,HKD 110,HKD 10
NoReload Heroes Enhanced Edition,https://ec.nintendo.com/HK/zh/titles/70010000030366,1,4,HKD 199,HKD 10
狄神探,https://ec.nintendo.com/HK/zh/titles/70010000047620,1,1,HKD 99,HKD 10
王牌釣手 Nintendo Switch版,https://ec.nintendo.com/HK/zh/titles/70010000016823,1,4,HKD 399,HKD 198
家庭象棋 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000014763,1,2,HKD 157,HKD 10
Zumba Garden,https://ec.nintendo.com/HK/zh/titles/70010000054895,1,1,HKD 20,HKD 16
Dungeon Nightmares 1+2 Collection,https://ec.nintendo.com/HK/zh/titles/70010000037602,1,1,HKD 125,HKD 12
- Mischief Dungeon Life - 轉生到異世界的我的胡鬧地城生活 (異世界転生した俺のイタズラダンジョンライフ),https://ec.nintendo.com/HK/zh/titles/70010000052999,1,1,HKD 97,HKD 48
Reverie: Sweet As Edition,https://ec.nintendo.com/HK/zh/titles/70010000014707,1,1,HKD 98,HKD 10
She Sees Red - Interactive Movie,https://ec.nintendo.com/HK/zh/titles/70010000028638,1,1,HKD 70,HKD 19
食物餐車大亨 - 亞洲美食 + 擴充包,https://ec.nintendo.com/HK/zh/bundles/70070000014791,1,1,HKD 48,HKD 24
Crazy Trucks,https://ec.nintendo.com/HK/zh/titles/70010000046496,1,4,HKD 129,HKD 12
祕館疑蹤2 Heaven Dust 2,https://ec.nintendo.com/HK/zh/titles/70010000038607,1,1,HKD 58,HKD 39
Wolfenstein®: Youngblood™ Deluxe Edition,https://ec.nintendo.com/HK/zh/bundles/70070000006507,1,1,HKD 234,HKD 58
Classic Games Collection Vol.1 - 經典遊戲集vol. 1,https://ec.nintendo.com/HK/zh/titles/70010000037178,1,2,HKD 40,HKD 10
Spider Solitaire 蜘蛛紙牌,https://ec.nintendo.com/HK/zh/titles/70010000044029,1,1,HKD 82,HKD 10
七龍珠 異戰2 特別版 for Nintendo Switch,https://ec.nintendo.com/HK/zh/bundles/70070000014195,1,2,HKD 399,HKD 298
Spirit of the North,https://ec.nintendo.com/HK/zh/titles/70010000035507,1,1,HKD 119,HKD 40
Röki,https://ec.nintendo.com/HK/zh/titles/70010000034576,1,1,HKD 119,HKD 40
大家一起閱讀空氣。2 ～令和～,https://ec.nintendo.com/HK/zh/titles/70010000031985,1,2,HKD 39,HKD 29
Moto Rush GT豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011419,1,1,HKD 130,HKD 10
笨拙的拉什：終極人,https://ec.nintendo.com/HK/zh/titles/70010000049547,1,4,HKD 55,HKD 19
