《席德·梅爾的文明帝國VI 典藏版》,https://ec.nintendo.com/HK/zh/bundles/70070000012601,× 1,HKD 548,HKD 219
聖女戰旗,https://ec.nintendo.com/HK/zh/titles/70010000027454,× 1,HKD 118,HKD 59
Worms Rumble,https://ec.nintendo.com/HK/zh/titles/70010000037691,× 1,HKD 108,HKD 27
《植物大戰殭屍™: 和睦小鎮保衛戰》完整版,https://ec.nintendo.com/HK/zh/titles/70010000027857,× 1,HKD 319,HKD 118
Among Us,https://ec.nintendo.com/HK/zh/titles/70010000039104,× 1,HKD 38,HKD 28
Resident Evil 5,https://ec.nintendo.com/HK/zh/titles/70010000015875,× 1 ～ 2,HKD 156,HKD 78
對不起，我是個NPC,https://ec.nintendo.com/HK/zh/titles/70010000037295,× 1,HKD 26,HKD 23
祕館疑蹤2 Heaven Dust 2,https://ec.nintendo.com/HK/zh/titles/70010000038607,× 1,HKD 58,HKD 39
狄神探,https://ec.nintendo.com/HK/zh/titles/70010000047620,× 1,HKD 99,HKD 10
Deadly Days,https://ec.nintendo.com/HK/zh/titles/70010000029667,× 1,HKD 80,HKD 20
高考戀愛一百天～Gaokao.Love.100Days～,https://ec.nintendo.com/HK/zh/titles/70010000036798,× 1,HKD 49,HKD 33
Pizza Bar Tycoon- 披薩吧大亨 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000014223,× 1,HKD 49,HKD 14
Deedlit in Wonder Labyrinth (蒂德莉特的奇境迷宮冒險),https://ec.nintendo.com/HK/zh/titles/70010000046027,× 1,HKD 109,HKD 76
哆啦A夢 牧場物語,https://ec.nintendo.com/HK/zh/titles/70010000019943,× 1,HKD 419,HKD 98
Mad Father《狂父》,https://ec.nintendo.com/HK/zh/titles/70010000035382,× 1,HKD 52,HKD 31
Dungeon Nightmares 1+2 Collection,https://ec.nintendo.com/HK/zh/titles/70010000037602,× 1,HKD 125,HKD 12
Grand Theft Auto：三部曲 – 最終版,https://ec.nintendo.com/HK/zh/bundles/70070000013216,,HKD 468,HKD 313
骰子地下城,https://ec.nintendo.com/HK/zh/titles/70010000028410,× 1,HKD 135,HKD 33
大家一起閱讀空氣。2 ～令和～,https://ec.nintendo.com/HK/zh/titles/70010000031985,× 1 ～ 2,HKD 39,HKD 29
Death Road to Canada,https://ec.nintendo.com/HK/zh/titles/70010000013979,× 1 ～ 4,HKD 118,HKD 35
真人快打11終極版,https://ec.nintendo.com/HK/zh/bundles/70070000011265,× 1 ～ 2,HKD 468,HKD 187
Resident Evil,https://ec.nintendo.com/HK/zh/titles/70010000012853,× 1,HKD 156,HKD 78
Roof Rage,https://ec.nintendo.com/HK/zh/titles/70010000025308,× 1 ～ 8,HKD 118,HKD 28
泰拉瑞亞,https://ec.nintendo.com/HK/zh/titles/70010000023876,× 1,HKD 278,HKD 139
Shakes on a Plane,https://ec.nintendo.com/HK/zh/titles/70010000034078,× 1 ～ 4,HKD 85,HKD 10
NBA 2K 熱血街球場2,https://ec.nintendo.com/HK/zh/titles/70010000013729,× 1 ～ 4,HKD 248,HKD 62
Gang Beasts,https://ec.nintendo.com/HK/zh/titles/70010000033940,× 1 ～ 4,HKD 159,HKD 111
XCOM 2 典藏合輯,https://ec.nintendo.com/HK/zh/titles/70010000025495,× 1,HKD 398,HKD 79
Resident Evil 0,https://ec.nintendo.com/HK/zh/titles/70010000012849,× 1,HKD 156,HKD 78
THE Card: Poker, Texas hold 'em, Blackjack and Page One,https://ec.nintendo.com/HK/zh/titles/70010000029368,× 1,HKD 36,HKD 14
《鬥陣特攻》傳奇版,https://ec.nintendo.com/HK/zh/titles/70010000023458,× 1,HKD 314,HKD 157
