刀劍神域 奪命凶彈 完全版,https://ec.nintendo.com/HK/zh/titles/70010000014621,1,1,HKD 449,HKD 48
MONSTER HUNTER RISE,https://ec.nintendo.com/HK/zh/titles/70010000029013,1,1,HKD 468,HKD 238
《Just Dance 舞力全開 2022》 - Just Dance 2022,https://ec.nintendo.com/HK/zh/titles/70010000040285,1,6,HKD 388,HKD 155
Neoverse Trinity Edition,https://ec.nintendo.com/HK/zh/titles/70010000034989,1,1,HKD 149,HKD 29
ONE PIECE 海賊無雙4 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000010027,1,2,HKD 649,HKD 198
《飢餓鯊：世界》(Hungry Shark World),https://ec.nintendo.com/HK/zh/titles/70010000010278,1,1,HKD 70,HKD 14
超級雞馬,https://ec.nintendo.com/HK/zh/titles/70010000028010,1,4,HKD 76,HKD 38
MONSTER HUNTER RISE 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011159,1,1,HKD 543,HKD 276
《瑪利歐 + 瘋狂兔子 王國之戰》- 黃金版 英中版 (Mario + Rabbids Kingdom Battle Gold Edition),https://ec.nintendo.com/HK/zh/bundles/70070000002461,1,2,HKD 468,HKD 117
AAA 時鐘 完整版,https://ec.nintendo.com/HK/zh/bundles/70070000014154,1,1,HKD 103,HKD 10
《刺客教條：逆命合輯》(Assassin's Creed The Rebel Collection),https://ec.nintendo.com/HK/zh/titles/70010000019187,1,1,HKD 350,HKD 115
《Just Dance 舞力全開 2022》- 終極版 (Just Dance 2022 Ultimate Edition),https://ec.nintendo.com/HK/zh/bundles/70070000013209,1,6,HKD 566,HKD 283
《光明之子》- 終極版 (Child of Light Ultimate Edition),https://ec.nintendo.com/HK/zh/titles/70010000013586,1,2,HKD 140,HKD 35
乒乓球,https://ec.nintendo.com/HK/zh/titles/70010000044635,1,2,HKD 78,HKD 15
泰拉瑞亞,https://ec.nintendo.com/HK/zh/titles/70010000023876,1,1,HKD 278,HKD 139
隊長小翼 新秀崛起,https://ec.nintendo.com/HK/zh/titles/70010000015247,1,4,HKD 479,HKD 118
小小夢魘2 (Little Nightmares II),https://ec.nintendo.com/HK/zh/titles/70010000021687,1,1,HKD 219,HKD 98
ENDER LILIES: Quietus of the Knights,https://ec.nintendo.com/HK/zh/titles/70010000035191,1,1,HKD 155,HKD 108
