FIFA 22 Nintendo Switch™ Legacy Edition,https://ec.nintendo.com/HK/zh/titles/70010000038673,1,4,HKD 319,HKD 79
《Unravel Two》,https://ec.nintendo.com/HK/zh/titles/70010000015567,1,2,HKD 239,HKD 40
《極速快感™超熱力追緝》重製版 (Need for Speed™ Hot Pursuit Remastered),https://ec.nintendo.com/HK/zh/titles/70010000029277,1,1,HKD 319,HKD 63
哆啦A夢 牧場物語,https://ec.nintendo.com/HK/zh/titles/70010000019943,1,1,HKD 419,HKD 98
Encodya,https://ec.nintendo.com/HK/zh/titles/70010000040676,1,1,HKD 120,HKD 12
Overcooked! 2 - Gourmet Edition,https://ec.nintendo.com/HK/zh/bundles/70070000010913,1,4,HKD 354,HKD 88
Figment,https://ec.nintendo.com/HK/zh/titles/70010000039725,1,1,HKD 149,HKD 14
刀劍神域 奪命凶彈 完全版,https://ec.nintendo.com/HK/zh/titles/70010000014621,1,1,HKD 449,HKD 48
KAMEN RIDER 巔峰亂鬥,https://ec.nintendo.com/HK/zh/titles/70010000015172,1,4,HKD 449,HKD 48
MONSTER HUNTER RISE,https://ec.nintendo.com/HK/zh/titles/70010000029013,1,1,HKD 468,HKD 238
Lacuna,https://ec.nintendo.com/HK/zh/titles/70010000048599,1,1,HKD 75,HKD 15
Overcooked! All You Can Eat,https://ec.nintendo.com/HK/zh/titles/70010000037361,1,4,HKD 275,HKD 137
Sky Games 天空遊戲,https://ec.nintendo.com/HK/zh/titles/70010000048537,1,4,HKD 119,HKD 17
MONSTER HUNTER RISE 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011159,1,1,HKD 543,HKD 276
Neoverse Trinity Edition,https://ec.nintendo.com/HK/zh/titles/70010000034989,1,1,HKD 149,HKD 29
《植物大戰殭屍™: 和睦小鎮保衛戰》完整版,https://ec.nintendo.com/HK/zh/titles/70010000027857,1,1,HKD 319,HKD 118
王牌釣手 Nintendo Switch版,https://ec.nintendo.com/HK/zh/titles/70010000016823,1,4,HKD 399,HKD 148
S.N.I.P.E.R - Hunter Scope (S.N.I.P.E.R. 獵人範圍),https://ec.nintendo.com/HK/zh/titles/70010000036220,1,1,HKD 110,HKD 10
《Just Dance 舞力全開 2022》 - Just Dance 2022,https://ec.nintendo.com/HK/zh/titles/70010000040285,1,6,HKD 388,HKD 155
The Sinking City：豪華典藏版,https://ec.nintendo.com/HK/zh/bundles/70070000009581,1,1,HKD 510,HKD 76
泰拉瑞亞,https://ec.nintendo.com/HK/zh/titles/70010000023876,1,1,HKD 278,HKD 139
嘛逗離咔-魔法房租-,https://ec.nintendo.com/HK/zh/titles/70010000014209,1,1,HKD 110,HKD 60
Metro 2033 Redux,https://ec.nintendo.com/HK/zh/titles/70010000028630,1,1,HKD 180,HKD 45
小老鼠百科全書 + 在葉子下,https://ec.nintendo.com/HK/zh/bundles/70070000013533,0,0,HKD 189,HKD 18
超級雞馬,https://ec.nintendo.com/HK/zh/titles/70010000028010,1,4,HKD 76,HKD 38
ONE PIECE 海賊無雙4 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000010027,1,2,HKD 649,HKD 198
Capcom Arcade Stadium Packs 1-3套裝,https://ec.nintendo.com/HK/zh/bundles/70070000011575,1,4,HKD 312,HKD 156
狄神探,https://ec.nintendo.com/HK/zh/titles/70010000047620,1,1,HKD 99,HKD 10
