ONE PIECE 海賊無雙4 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000010027,1,2,HKD 649,HKD 148
Shift Happens,https://ec.nintendo.com/HK/zh/titles/70010000052334,1,2,HKD 120,HKD 12
數碼寶貝物語 網路偵探 駭客追憶,https://ec.nintendo.com/HK/zh/titles/70010000018679,1,1,HKD 419,HKD 98
Overcooked! 2,https://ec.nintendo.com/HK/zh/titles/70010000033098,1,4,HKD 196,HKD 49
《光明之子》- 終極版 (Child of Light Ultimate Edition),https://ec.nintendo.com/HK/zh/titles/70010000013586,1,2,HKD 140,HKD 28
《刺客教條：逆命合輯》(Assassin's Creed The Rebel Collection),https://ec.nintendo.com/HK/zh/titles/70010000019187,1,1,HKD 350,HKD 105
《瑪利歐 + 瘋狂兔子 王國之戰》- 英中版 (Mario + Rabbids Kingdom Battle Standard Edition),https://ec.nintendo.com/HK/zh/titles/70010000011652,1,2,HKD 320,HKD 80
小小夢魘2 (Little Nightmares II),https://ec.nintendo.com/HK/zh/titles/70010000021687,1,1,HKD 219,HKD 98
《刺客教條 III 重製版》(Assassin's Creed 3 Remastered),https://ec.nintendo.com/HK/zh/titles/70010000010683,1,1,HKD 280,HKD 70
《飢餓鯊：世界》(Hungry Shark World),https://ec.nintendo.com/HK/zh/titles/70010000010278,1,1,HKD 70,HKD 14
超級機器人大戰V,https://ec.nintendo.com/HK/zh/titles/70010000019765,1,1,HKD 449,HKD 148
Moving Out,https://ec.nintendo.com/HK/zh/titles/70010000029910,1,4,HKD 193,HKD 48
Resident Evil 6,https://ec.nintendo.com/HK/zh/titles/70010000015879,1,2,HKD 156,HKD 78
《Just Dance 舞力全開 2022》- 豪華版 (Just Dance 2022 Deluxe Edition),https://ec.nintendo.com/HK/zh/bundles/70070000013208,1,6,HKD 463,HKD 208
三國志14 with 威力加強版 Digital Deluxe Edition,https://ec.nintendo.com/HK/zh/bundles/70070000011346,1,1,HKD 708,HKD 424
Resident Evil Revelations 2,https://ec.nintendo.com/HK/zh/titles/70010000049894,1,2,HKD 156,HKD 62
刀劍神域 奪命凶彈 完全版,https://ec.nintendo.com/HK/zh/titles/70010000014621,1,1,HKD 449,HKD 98
Sky Games 天空遊戲 Extended Edition,https://ec.nintendo.com/HK/zh/bundles/70070000014774,1,4,HKD 189,HKD 18
三國志14 with 威力加強版,https://ec.nintendo.com/HK/zh/titles/70010000033861,1,1,HKD 490,HKD 294
爆鑽小英雄 鑽頭樂園,https://ec.nintendo.com/HK/zh/titles/70010000028223,1,4,HKD 219,HKD 48
Down in Bermuda (逃出百慕達),https://ec.nintendo.com/HK/zh/titles/70010000046725,1,1,HKD 160,HKD 16
S.N.I.P.E.R. 獵人範圍 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011434,1,1,HKD 130,HKD 10
AAA 時鐘導演剪輯版,https://ec.nintendo.com/HK/zh/bundles/70070000014729,1,1,HKD 86,HKD 19
resident evil 4,https://ec.nintendo.com/HK/zh/titles/70010000012857,1,1,HKD 156,HKD 78
The Sinking City,https://ec.nintendo.com/HK/zh/titles/70010000019161,1,1,HKD 380,HKD 57
瘋狂兔子：傳奇派對 - Rabbids®: Party of Legends,https://ec.nintendo.com/HK/zh/titles/70010000039787,1,4,HKD 308,HKD 230
Agent A - 偽裝遊戲,https://ec.nintendo.com/HK/zh/titles/70010000050407,1,1,HKD 160,HKD 16
