忍者龜：許瑞德的復仇 (Teenage Mutant Ninja Turtles: Shredder's Revenge),https://ec.nintendo.com/HK/zh/titles/70010000052146,1,4,HKD 198,HKD 178
《NBA 2K22》,https://ec.nintendo.com/HK/zh/titles/70010000041052,1,4,HKD 468,HKD 74
FIFA 22 Nintendo Switch™ Legacy Edition,https://ec.nintendo.com/HK/zh/titles/70010000038673,1,4,HKD 319,HKD 79
Little Nightmares Complete Edition,https://ec.nintendo.com/HK/zh/titles/70010000009448,1,1,HKD 199,HKD 48
火影忍者疾風傳 終極風暴4 慕留人傳,https://ec.nintendo.com/HK/zh/titles/70010000016050,1,2,HKD 399,HKD 148
《Unravel Two》,https://ec.nintendo.com/HK/zh/titles/70010000015567,1,2,HKD 239,HKD 40
《Just Dance 舞力全開 2022》- 豪華版 (Just Dance 2022 Deluxe Edition),https://ec.nintendo.com/HK/zh/bundles/70070000013208,1,6,HKD 463,HKD 208
Moto Rush GT,https://ec.nintendo.com/HK/zh/titles/70010000035529,1,1,HKD 120,HKD 10
《極速快感™超熱力追緝》重製版 (Need for Speed™ Hot Pursuit Remastered),https://ec.nintendo.com/HK/zh/titles/70010000029277,1,1,HKD 319,HKD 63
太鼓之達人 Nintendo Switch版！,https://ec.nintendo.com/HK/zh/titles/70010000011790,1,4,HKD 429,HKD 198
Encodya,https://ec.nintendo.com/HK/zh/titles/70010000040676,1,1,HKD 120,HKD 12
哆啦A夢 牧場物語,https://ec.nintendo.com/HK/zh/titles/70010000019943,1,1,HKD 419,HKD 98
KAMEN RIDER 巔峰亂鬥,https://ec.nintendo.com/HK/zh/titles/70010000015172,1,4,HKD 449,HKD 48
Overcooked! 2 - Gourmet Edition,https://ec.nintendo.com/HK/zh/bundles/70070000010913,1,4,HKD 354,HKD 88
Figment,https://ec.nintendo.com/HK/zh/titles/70010000039725,1,1,HKD 149,HKD 14
Lacuna,https://ec.nintendo.com/HK/zh/titles/70010000048599,1,1,HKD 75,HKD 15
MONSTER HUNTER RISE,https://ec.nintendo.com/HK/zh/titles/70010000029013,1,1,HKD 468,HKD 238
《文明帝國VI》,https://ec.nintendo.com/HK/zh/titles/70010000014595,1,1,HKD 238,HKD 71
超級機器人大戰Ｔ,https://ec.nintendo.com/HK/zh/titles/70010000015667,1,1,HKD 559,HKD 148
Overcooked! All You Can Eat,https://ec.nintendo.com/HK/zh/titles/70010000037361,1,4,HKD 275,HKD 137
一起五子棋,https://ec.nintendo.com/HK/zh/titles/70010000048412,1,2,HKD 22,HKD 15
MONSTER HUNTER RISE 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000011159,1,1,HKD 543,HKD 276
Sky Games 天空遊戲,https://ec.nintendo.com/HK/zh/titles/70010000048537,1,4,HKD 119,HKD 17
Neoverse Trinity Edition,https://ec.nintendo.com/HK/zh/titles/70010000034989,1,1,HKD 149,HKD 29
《植物大戰殭屍™: 和睦小鎮保衛戰》完整版,https://ec.nintendo.com/HK/zh/titles/70010000027857,1,1,HKD 319,HKD 118
《席德·梅爾的文明帝國VI 典藏版》,https://ec.nintendo.com/HK/zh/bundles/70070000012601,1,1,HKD 548,HKD 219
嘛逗離咔-魔法房租-,https://ec.nintendo.com/HK/zh/titles/70010000014209,1,1,HKD 110,HKD 60
The Sinking City：豪華典藏版,https://ec.nintendo.com/HK/zh/bundles/70070000009581,1,1,HKD 510,HKD 76
S.N.I.P.E.R - Hunter Scope (S.N.I.P.E.R. 獵人範圍),https://ec.nintendo.com/HK/zh/titles/70010000036220,1,1,HKD 110,HKD 10
王牌釣手 Nintendo Switch版,https://ec.nintendo.com/HK/zh/titles/70010000016823,1,4,HKD 399,HKD 148
